event_date,n_event
2020-02-01,5569
2020-02-02,5500
2020-02-03,5499
2020-02-04,5312
2020-02-05,5000
2020-02-06,5299
2020-02-07,5737
2020-02-08,5834
2020-02-09,5777
2020-02-10,5487
2020-02-11,5345
2020-02-12,5536
2020-02-13,5523
2020-02-14,5970
2020-02-15,5833
2020-02-16,5689
2020-02-17,5658
2020-02-18,5715
2020-02-19,5580
2020-02-20,5613
2020-02-21,6173
2020-02-22,5693
2020-02-23,5786
2020-02-24,5444
2020-02-25,5894
2020-02-26,5677
2020-02-27,5493
2020-02-28,5757
2020-02-29,5781
2020-03-01,5981
2020-03-02,5732
2020-03-03,5681
2020-03-04,5812
2020-03-05,5603
2020-03-06,5861
2020-03-07,6172
2020-03-08,5978
2020-03-09,5958
2020-03-10,5975
2020-03-11,5863
2020-03-12,6028
2020-03-13,6006
2020-03-14,6051
2020-03-15,5922
2020-03-16,5371
2020-03-17,6093
2020-03-18,5894
2020-03-19,6049
2020-03-20,6122
2020-03-21,6197
2020-03-22,6207
2020-03-23,6104
2020-03-24,6212
2020-03-25,5880
2020-03-26,6164
2020-03-27,6276
2020-03-28,6243
2020-03-29,6324
2020-03-30,6299
2020-03-31,5676
2020-04-01,6000
2020-04-02,5763
2020-04-03,6893
2020-04-04,6951
2020-04-05,6963
2020-04-06,6368
2020-04-07,6416
2020-04-08,5828
2020-04-09,5620
2020-04-10,6432
2020-04-11,6828
2020-04-12,6614
2020-04-13,6432
2020-04-14,6249
2020-04-15,6391
2020-04-16,6385
2020-04-17,6678
2020-04-18,6490
2020-04-19,6679
2020-04-20,6454
2020-04-21,6679
2020-04-22,6544
2020-04-23,6428
2020-04-24,7306
2020-04-25,6860
2020-04-26,7021
2020-04-27,6305
2020-04-28,6874
2020-04-29,6848
2020-04-30,6831
2020-05-01,6928
2020-05-02,6781
2020-05-03,7215
2020-05-04,6265
2020-05-05,6894
2020-05-06,6684
2020-05-07,6324
2020-05-08,6992
2020-05-09,7068
2020-05-10,7119
2020-05-11,7078
2020-05-12,6832
2020-05-13,6326
2020-05-14,6958
2020-05-15,7376
2020-05-16,7044
2020-05-17,7265
2020-05-18,7212
2020-05-19,7034
2020-05-20,7317
2020-05-21,6866
2020-05-22,7459
2020-05-23,7277
2020-05-24,7407
2020-05-25,6879
2020-05-26,7466
2020-05-27,7251
2020-05-28,7149
2020-05-29,8063
2020-05-30,7652
2020-05-31,7277
2020-06-01,7451
