event_date,n_event
2020-02-01,23925
2020-02-02,21345
2020-02-03,21065
2020-02-04,19104
2020-02-05,17891
2020-02-06,20058
2020-02-07,24160
2020-02-08,24361
2020-02-09,22870
2020-02-10,19565
2020-02-11,19724
2020-02-12,22222
2020-02-13,20885
2020-02-14,24973
2020-02-15,23350
2020-02-16,23595
2020-02-17,22215
2020-02-18,22341
2020-02-19,22787
2020-02-20,21837
2020-02-21,26403
2020-02-22,22693
2020-02-23,24179
2020-02-24,20000
2020-02-25,22930
2020-02-26,22033
2020-02-27,20101
2020-02-28,23247
2020-02-29,23140
2020-03-01,24819
2020-03-02,22393
2020-03-03,21449
2020-03-04,21548
2020-03-05,21168
2020-03-06,23450
2020-03-07,26590
2020-03-08,25210
2020-03-09,23379
2020-03-10,23844
2020-03-11,22502
2020-03-12,22516
2020-03-13,25258
2020-03-14,24628
2020-03-15,24227
2020-03-16,20149
2020-03-17,23522
2020-03-18,24574
2020-03-19,23152
2020-03-20,24787
2020-03-21,26056
2020-03-22,26504
2020-03-23,24795
2020-03-24,24425
2020-03-25,22842
2020-03-26,24772
2020-03-27,25284
2020-03-28,24945
2020-03-29,25778
2020-03-30,25013
2020-03-31,21035
2020-04-01,22834
2020-04-02,21385
2020-04-03,29691
2020-04-04,29803
2020-04-05,30363
2020-04-06,25804
2020-04-07,25801
2020-04-08,21648
2020-04-09,21408
2020-04-10,26160
2020-04-11,28831
2020-04-12,26364
2020-04-13,26266
2020-04-14,23180
2020-04-15,25922
2020-04-16,24914
2020-04-17,27636
2020-04-18,26516
2020-04-19,26784
2020-04-20,27124
2020-04-21,26927
2020-04-22,25938
2020-04-23,25730
2020-04-24,31496
2020-04-25,29729
2020-04-26,29235
2020-04-27,24443
2020-04-28,27754
2020-04-29,27853
2020-04-30,27269
2020-05-01,29239
2020-05-02,28182
2020-05-03,31569
2020-05-04,23404
2020-05-05,28385
2020-05-06,25155
2020-05-07,23895
2020-05-08,29599
2020-05-09,28647
2020-05-10,30327
2020-05-11,28447
2020-05-12,25453
2020-05-13,24362
2020-05-14,27473
2020-05-15,31852
2020-05-16,30170
2020-05-17,29937
2020-05-18,29239
2020-05-19,28637
2020-05-20,29465
2020-05-21,26808
2020-05-22,31350
2020-05-23,31722
2020-05-24,30863
2020-05-25,26877
2020-05-26,29534
2020-05-27,30390
2020-05-28,26763
2020-05-29,35103
2020-05-30,34118
2020-05-31,30623
2020-06-01,29290
