event_date,n_event
2020-02-01,2358
2020-02-02,2386
2020-02-03,2366
2020-02-04,2323
2020-02-05,2222
2020-02-06,2347
2020-02-07,2370
2020-02-08,2442
2020-02-09,2403
2020-02-10,2395
2020-02-11,2392
2020-02-12,2358
2020-02-13,2320
2020-02-14,2463
2020-02-15,2449
2020-02-16,2381
2020-02-17,2479
2020-02-18,2466
2020-02-19,2494
2020-02-20,2435
2020-02-21,2589
2020-02-22,2397
2020-02-23,2446
2020-02-24,2455
2020-02-25,2505
2020-02-26,2464
2020-02-27,2419
2020-02-28,2485
2020-02-29,2420
2020-03-01,2478
2020-03-02,2541
2020-03-03,2437
2020-03-04,2457
2020-03-05,2550
2020-03-06,2519
2020-03-07,2573
2020-03-08,2508
2020-03-09,2603
2020-03-10,2501
2020-03-11,2509
2020-03-12,2537
2020-03-13,2551
2020-03-14,2597
2020-03-15,2541
2020-03-16,2501
2020-03-17,2577
2020-03-18,2639
2020-03-19,2641
2020-03-20,2650
2020-03-21,2609
2020-03-22,2678
2020-03-23,2653
2020-03-24,2685
2020-03-25,2685
2020-03-26,2695
2020-03-27,2662
2020-03-28,2655
2020-03-29,2746
2020-03-30,2780
2020-03-31,2641
2020-04-01,2708
2020-04-02,2637
2020-04-03,2877
2020-04-04,2935
2020-04-05,2786
2020-04-06,2795
2020-04-07,2874
2020-04-08,2715
2020-04-09,2650
2020-04-10,2788
2020-04-11,2852
2020-04-12,2823
2020-04-13,2763
2020-04-14,2842
2020-04-15,2882
2020-04-16,2815
2020-04-17,2885
2020-04-18,2860
2020-04-19,2827
2020-04-20,2944
2020-04-21,2842
2020-04-22,2776
2020-04-23,2886
2020-04-24,2975
2020-04-25,2887
2020-04-26,3002
2020-04-27,2853
2020-04-28,2949
2020-04-29,2897
2020-04-30,2992
2020-05-01,2883
2020-05-02,3013
2020-05-03,3015
2020-05-04,2905
2020-05-05,3006
2020-05-06,2915
2020-05-07,2836
2020-05-08,2977
2020-05-09,2992
2020-05-10,2934
2020-05-11,3015
2020-05-12,2989
2020-05-13,2988
2020-05-14,3117
2020-05-15,3034
2020-05-16,3032
2020-05-17,3141
2020-05-18,3118
2020-05-19,3038
2020-05-20,3119
2020-05-21,2970
2020-05-22,3184
2020-05-23,3148
2020-05-24,3112
2020-05-25,3209
2020-05-26,3233
2020-05-27,3055
2020-05-28,3219
2020-05-29,3270
2020-05-30,3338
2020-05-31,3130
2020-06-01,3143
