event_date,n_event
2020-02-01,14740
2020-02-02,13884
2020-02-03,13456
2020-02-04,12458
2020-02-05,11673
2020-02-06,12945
2020-02-07,15170
2020-02-08,15206
2020-02-09,14653
2020-02-10,12684
2020-02-11,12816
2020-02-12,14101
2020-02-13,13513
2020-02-14,15720
2020-02-15,14559
2020-02-16,14802
2020-02-17,14093
2020-02-18,14293
2020-02-19,14465
2020-02-20,13966
2020-02-21,16613
2020-02-22,14474
2020-02-23,15056
2020-02-24,13445
2020-02-25,14537
2020-02-26,14413
2020-02-27,13307
2020-02-28,14653
2020-02-29,14546
2020-03-01,15709
2020-03-02,14507
2020-03-03,13958
2020-03-04,14124
2020-03-05,13500
2020-03-06,15024
2020-03-07,16545
2020-03-08,15840
2020-03-09,14937
2020-03-10,15188
2020-03-11,14800
2020-03-12,14570
2020-03-13,15592
2020-03-14,15221
2020-03-15,15618
2020-03-16,13167
2020-03-17,15094
2020-03-18,15717
2020-03-19,15028
2020-03-20,15762
2020-03-21,16199
2020-03-22,16482
2020-03-23,15766
2020-03-24,15563
2020-03-25,14946
2020-03-26,16019
2020-03-27,15963
2020-03-28,16094
2020-03-29,16052
2020-03-30,15933
2020-03-31,13781
2020-04-01,14739
2020-04-02,13829
2020-04-03,18710
2020-04-04,18701
2020-04-05,19033
2020-04-06,16365
2020-04-07,16439
2020-04-08,14168
2020-04-09,14039
2020-04-10,16585
2020-04-11,18326
2020-04-12,16829
2020-04-13,16806
2020-04-14,15263
2020-04-15,16799
2020-04-16,16237
2020-04-17,17278
2020-04-18,16874
2020-04-19,17215
2020-04-20,16945
2020-04-21,17149
2020-04-22,16603
2020-04-23,16400
2020-04-24,19939
2020-04-25,18574
2020-04-26,18175
2020-04-27,15561
2020-04-28,17581
2020-04-29,17634
2020-04-30,17255
2020-05-01,17951
2020-05-02,17765
2020-05-03,19357
2020-05-04,14994
2020-05-05,17729
2020-05-06,16224
2020-05-07,15462
2020-05-08,18635
2020-05-09,18144
2020-05-10,19035
2020-05-11,18150
2020-05-12,16396
2020-05-13,15646
2020-05-14,17578
2020-05-15,19386
2020-05-16,19034
2020-05-17,18840
2020-05-18,18474
2020-05-19,18254
2020-05-20,18738
2020-05-21,17158
2020-05-22,19287
2020-05-23,19413
2020-05-24,19439
2020-05-25,17512
2020-05-26,19080
2020-05-27,19049
2020-05-28,17288
2020-05-29,21924
2020-05-30,20988
2020-05-31,19224
2020-06-01,18366
