event_date,n_event
2020-02-01,8276
2020-02-02,7848
2020-02-03,7715
2020-02-04,7239
2020-02-05,6766
2020-02-06,7503
2020-02-07,8565
2020-02-08,8603
2020-02-09,8240
2020-02-10,7386
2020-02-11,7399
2020-02-12,8143
2020-02-13,7952
2020-02-14,8821
2020-02-15,8370
2020-02-16,8553
2020-02-17,8212
2020-02-18,8227
2020-02-19,8278
2020-02-20,8228
2020-02-21,9314
2020-02-22,8336
2020-02-23,8734
2020-02-24,7680
2020-02-25,8276
2020-02-26,8382
2020-02-27,7755
2020-02-28,8347
2020-02-29,8541
2020-03-01,8888
2020-03-02,8447
2020-03-03,8107
2020-03-04,8226
2020-03-05,7758
2020-03-06,8683
2020-03-07,9334
2020-03-08,9064
2020-03-09,8645
2020-03-10,8647
2020-03-11,8467
2020-03-12,8461
2020-03-13,9137
2020-03-14,8861
2020-03-15,8747
2020-03-16,7783
2020-03-17,8611
2020-03-18,8714
2020-03-19,8596
2020-03-20,8816
2020-03-21,9517
2020-03-22,9291
2020-03-23,8983
2020-03-24,9084
2020-03-25,8715
2020-03-26,9146
2020-03-27,9113
2020-03-28,9326
2020-03-29,9446
2020-03-30,9199
2020-03-31,8033
2020-04-01,8520
2020-04-02,7909
2020-04-03,10768
2020-04-04,10724
2020-04-05,10826
2020-04-06,9458
2020-04-07,9286
2020-04-08,8017
2020-04-09,8070
2020-04-10,9608
2020-04-11,10184
2020-04-12,9570
2020-04-13,9584
2020-04-14,8674
2020-04-15,9669
2020-04-16,9406
2020-04-17,10050
2020-04-18,9649
2020-04-19,9808
2020-04-20,9818
2020-04-21,9852
2020-04-22,9559
2020-04-23,9444
2020-04-24,11090
2020-04-25,10383
2020-04-26,10427
2020-04-27,9245
2020-04-28,10138
2020-04-29,10201
2020-04-30,10016
2020-05-01,10513
2020-05-02,10312
2020-05-03,11048
2020-05-04,8772
2020-05-05,10366
2020-05-06,9353
2020-05-07,8991
2020-05-08,10600
2020-05-09,10337
2020-05-10,10941
2020-05-11,10718
2020-05-12,9657
2020-05-13,9142
2020-05-14,10254
2020-05-15,11248
2020-05-16,10764
2020-05-17,10872
2020-05-18,10644
2020-05-19,10758
2020-05-20,10969
2020-05-21,9951
2020-05-22,11192
2020-05-23,11566
2020-05-24,11049
2020-05-25,10156
2020-05-26,11060
2020-05-27,11403
2020-05-28,10071
2020-05-29,12535
2020-05-30,12076
2020-05-31,11123
2020-06-01,10898
