event_date,n_event
2020-02-01,96
2020-02-02,106
2020-02-03,114
2020-02-04,97
2020-02-05,111
2020-02-06,103
2020-02-07,124
2020-02-08,116
2020-02-09,87
2020-02-10,123
2020-02-11,108
2020-02-12,126
2020-02-13,105
2020-02-14,112
2020-02-15,99
2020-02-16,128
2020-02-17,135
2020-02-18,124
2020-02-19,129
2020-02-20,109
2020-02-21,115
2020-02-22,119
2020-02-23,141
2020-02-24,126
2020-02-25,106
2020-02-26,121
2020-02-27,117
2020-02-28,102
2020-02-29,108
2020-03-01,103
2020-03-02,136
2020-03-03,119
2020-03-04,113
2020-03-05,142
2020-03-06,119
2020-03-07,124
2020-03-08,110
2020-03-09,126
2020-03-10,119
2020-03-11,118
2020-03-12,119
2020-03-13,111
2020-03-14,145
2020-03-15,122
2020-03-16,134
2020-03-17,122
2020-03-18,118
2020-03-19,129
2020-03-20,143
2020-03-21,115
2020-03-22,125
2020-03-23,112
2020-03-24,137
2020-03-25,117
2020-03-26,103
2020-03-27,120
2020-03-28,114
2020-03-29,92
2020-03-30,112
2020-03-31,113
2020-04-01,112
2020-04-02,120
2020-04-03,146
2020-04-04,125
2020-04-05,134
2020-04-06,135
2020-04-07,122
2020-04-08,108
2020-04-09,133
2020-04-10,121
2020-04-11,130
2020-04-12,121
2020-04-13,127
2020-04-14,118
2020-04-15,115
2020-04-16,144
2020-04-17,119
2020-04-18,126
2020-04-19,128
2020-04-20,129
2020-04-21,121
2020-04-22,118
2020-04-23,117
2020-04-24,128
2020-04-25,142
2020-04-26,134
2020-04-27,148
2020-04-28,127
2020-04-29,117
2020-04-30,122
2020-05-01,128
2020-05-02,140
2020-05-03,134
2020-05-04,129
2020-05-05,139
2020-05-06,148
2020-05-07,158
2020-05-08,141
2020-05-09,148
2020-05-10,154
2020-05-11,120
2020-05-12,144
2020-05-13,138
2020-05-14,154
2020-05-15,154
2020-05-16,145
2020-05-17,124
2020-05-18,131
2020-05-19,139
2020-05-20,117
2020-05-21,142
2020-05-22,144
2020-05-23,146
2020-05-24,163
2020-05-25,154
2020-05-26,161
2020-05-27,151
2020-05-28,129
2020-05-29,147
2020-05-30,153
2020-05-31,147
2020-06-01,138
