calc_date,avg,n_calc,min,max
2020-02-02,24.827878527739028,9319,1.0,2102.0
2020-02-09,30.712070538157494,9867,1.0,2066.0
2020-02-16,34.90327643711987,10194,1.0,2059.0
2020-02-23,37.80822705916195,10429,1.0,2055.0
2020-03-01,38.15660039574107,10613,1.0,2030.0
2020-03-08,38.58183688739244,10692,1.0,2049.0
2020-03-15,38.783511816838995,10832,1.0,2048.0
2020-03-22,38.63104930930381,10931,1.0,2039.0
2020-03-29,39.17689661415897,11046,1.0,2074.0
2020-04-05,39.305510968432316,11214,1.0,2070.0
2020-04-12,39.29266584981621,11426,1.0,2046.0
2020-04-19,39.4524812935409,11627,1.0,2061.0
2020-04-26,39.85948735301582,11821,1.0,2067.0
2020-05-03,39.90850269597677,12055,1.0,2065.0
2020-05-10,39.41128836343024,12349,1.0,2065.0
