calc_date,avg,n_calc,min,max
2020-02-02,37.8646737383478,9333,1.0,2313.0
2020-02-09,46.9587764610554,9873,1.0,2672.0
2020-02-16,53.50993117010816,10170,1.0,3185.0
2020-02-23,57.93873232663268,10397,1.0,3641.0
2020-03-01,58.4859707132735,10585,1.0,3673.0
2020-03-08,59.162566644841455,10691,1.0,3722.0
2020-03-15,59.62312021404188,10839,1.0,3751.0
2020-03-22,59.44930580928023,10948,1.0,3640.0
2020-03-29,60.4308303966748,11067,1.0,3604.0
2020-04-05,60.547034311552444,11279,1.0,3592.0
2020-04-12,60.58601167145719,11481,1.0,3591.0
2020-04-19,60.770330422872796,11682,1.0,3569.0
2020-04-26,61.44937294840501,11881,1.0,3670.0
2020-05-03,61.57078226536152,12157,1.0,3655.0
2020-05-10,61.123590982286636,12420,1.0,3618.0
