calc_date,avg,n_calc,min,max
2020-02-02,15.829406685580363,8107,1.0,636.0
2020-02-09,18.963212959838003,8889,1.0,841.0
2020-02-16,21.382213608957795,9288,1.0,1170.0
2020-02-23,23.049680327009746,9541,1.0,1306.0
2020-03-01,23.44463917525773,9700,1.0,1288.0
2020-03-08,23.714649811397695,9809,1.0,1273.0
2020-03-15,23.844640706543558,9964,1.0,1261.0
2020-03-22,23.69023569023569,10098,1.0,1274.0
2020-03-29,23.99129073294843,10219,1.0,1277.0
2020-04-05,24.048707848976846,10409,1.0,1281.0
2020-04-12,24.00169763274545,10603,1.0,1310.0
2020-04-19,24.089209698315752,10806,1.0,1290.0
2020-04-26,24.300792999726553,10971,1.0,1345.0
2020-05-03,24.299314275536556,11229,1.0,1339.0
2020-05-10,24.21082546344876,11436,1.0,1323.0
