calc_date,avg,n_calc,min,max
2020-02-02,1.1144721233689205,1686,1.0,3.0
2020-02-09,1.1298940580377705,2171,1.0,3.0
2020-02-16,1.1464686998394864,2492,1.0,4.0
2020-02-23,1.1488661302121435,2734,1.0,4.0
2020-03-01,1.1592057761732852,2770,1.0,4.0
2020-03-08,1.1626102292768958,2835,1.0,4.0
2020-03-15,1.1664943123061013,2901,1.0,4.0
2020-03-22,1.1587895273716422,2941,1.0,4.0
2020-03-29,1.158805564981337,2947,1.0,5.0
2020-04-05,1.1571917808219179,2920,1.0,4.0
2020-04-12,1.1655855240696484,2929,1.0,5.0
2020-04-19,1.1591683708248126,2934,1.0,4.0
2020-04-26,1.148172757475083,3010,1.0,4.0
2020-05-03,1.149514563106796,3090,1.0,4.0
2020-05-10,1.1513819095477387,3184,1.0,4.0
